,WorkPlace,EdLevel,YearsCodePro,YearsCode,Employment,WorkPosition,DevType,Age,OrgSize,Salary
41,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.3,4.0,full-time,Web dev,Full-stack developer,18-24 ปี,"1,000 คนขึ้นไป แต่ไม่เกิน 10,000 คน (1,000 to 9,999 employees)",28000
42,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,6.0,full-time,Web dev,Full-stack developer,18-24 ปี,"10,000 คนขึ้นไป (10,000 or more employees)",401800
43,ปทุมธานี (Pathum Thani),ปริญญาโท (Master's Degree),0.8,0.0,full-time,Admin,"Database administrator, Data or business analyst",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",276000
44,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),6.0,6.0,full-time,Admin,"Database administrator, System administrator",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),260000
45,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),9.0,0.0,full-time,Manager,"Product manager, Marketing or sales professional",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),1500000
46,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,5.0,full-time,Bussiness,"Data or business analyst, Scientist",25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),480000
47,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.8,4.0,full-time,Web dev,"Full-stack developer, DevOps specialist",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",480000
48,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),8.0,10.0,full-time,Web dev,"Back-end developer, Full-stack developer, Embedded applications or devices developer, Database administrator",25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),600000
49,ปทุมธานี (Pathum Thani),ปริญญาตรี (Bachelor's Degree),3.0,3.4,full-time,Web dev,Full-stack developer,25-34 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),540000
50,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),1.0,6.0,full-time,Game dev,Game or graphics developer,18-24 ปี,20 คนขึ้นไป แต่ไม่เกิน 100 คน (20 to 99 employees),264000
51,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),2.0,12.0,full-time,Web dev,DevOps specialist,18-24 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),840000
52,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),3.0,3.0,full-time,Web dev,"Full-stack developer, Desktop or enterprise applications developer, Data or business analyst",25-34 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",820000
53,กรุงเทพมหานคร (Bangkok),ปริญญาตรี (Bachelor's Degree),4.0,4.0,full-time,Mobile dev,Mobile developer,25-34 ปี,2 คนขึ้นไป แต่ไม่เกิน 20 คน (2 to 19 employees),720000
54,ปทุมธานี (Pathum Thani),ปริญญาตรี (Bachelor's Degree),2.0,6.0,full-time,Web dev,"Back-end developer, Front-end developer, Mobile developer",18-24 ปี,"100 คนขึ้นไป แต่ไม่เกิน 1,000 คน (100 to 999 employees)",336000
